venue_type,frequency,lift_naive,lift_calibrated
bar,11.25,16.02535750885455,19.304910285176046
bar,11.5,16.039312994480735,19.321721729029992
bar,11.75,16.052127332009537,19.33715849143737
bar,12.0,16.063914030305508,19.351357310592356
bar,12.25,16.07477341874496,19.364439048048737
bar,12.5,16.08479438304215,19.376510779778982
bar,12.75,16.09405584718836,19.387667581388754
bar,13.0,16.102628042066517,19.397994056350605
bar,13.25,16.110573594319867,19.407565647707138
bar,13.5,16.117948463350157,19.41644976682373
bar,13.75,16.124802749651284,19.424706767145818
bar,14.0,16.13118139385027,19.432390786296992
gym,0.0,0.0,0.0
gym,0.25,0.017211392894296903,0.04555843145389282
gym,0.5,0.09580535017420158,0.25359606312129707
gym,0.75,0.2553013727244223,0.675780871471732
gym,1.0,0.49699714684237173,1.3155478226693202
gym,1.25,0.8074423228314851,2.137293939172082
gym,1.5,1.1636804886641976,3.080253765783671
gym,1.75,1.5399672629118781,4.076282112638145
gym,2.0,1.9134787205003145,5.064964216538343
gym,2.25,2.267434578812349,6.001882791789504
gym,2.5,2.591660817969091,6.860107281979978
gym,2.75,2.881552500660687,7.627448451638299
gym,3.0,3.136462526186703,8.302193429930279
gym,3.25,3.3581746753608512,8.889063871659179
gym,3.5,3.5497331470464757,9.396117749012346
gym,3.75,3.7146589848832954,9.832675238822153
gym,4.0,3.8564803740621305,10.208075421554646
gym,4.25,3.978482619370957,10.531014475021083
gym,4.5,4.083597435942324,10.80925262779383
gym,4.75,4.174373625530435,11.049536539525684
gym,5.0,4.2529912931689,11.257636932339258
gym,5.25,4.321296553653557,11.438440458633849
gym,5.5,4.3808435212914745,11.596060847644793
gym,5.75,4.432936509759508,11.733950608161255
gym,6.0,4.478669003104104,11.85500418447847
gym,6.25,4.518958014540166,11.961648903887736
gym,6.5,4.554573552135468,12.05592297212813
gym,6.75,4.586163458127767,12.139541222877721
gym,7.0,4.614274124872055,12.213949952714875
gym,7.25,4.639367659258045,12.280372355206124
gym,7.5,4.6618360517527595,12.33984602625856
gym,7.75,4.68201285235105,12.393253870275684
gym,8.0,4.700182788653003,12.441349559138173
gym,8.25,4.71658969382213,12.484778517451353
gym,8.5,4.731443050287621,12.52409524367736
gym,8.75,4.744923401023327,12.559777633751125
gym,9.0,4.757186834440455,12.592238852558621
gym,9.25,4.768368710829016,12.621837197800218
gym,9.5,4.778586766958582,12.648884317846216
gym,9.75,4.787943709892593,12.673652077544407
gym,10.0,4.796529390319722,12.696378311012355
gym,10.25,4.804422628903162,12.717271655970627
gym,10.5,4.811692755561034,12.736515628206805
gym,10.75,4.818400910606,12.754272065682555
gym,11.0,4.824601147786606,12.770684048276022
gym,11.25,4.830341372077709,12.785878380106238
gym,11.5,4.835664139231981,12.799967705940132
gym,11.75,4.840607339363341,12.813052320632886
gym,12.0,4.84520478297278,12.825221720334008
gym,12.25,4.849486704676819,12.836555935852907
gym,12.5,4.853480197321919,12.847126681756551
gym,12.75,4.857209587054867,12.856998349178058
gym,13.0,4.860696758181828,12.866228865716222
gym,13.25,4.863961435216635,12.874870442015292
gym,13.5,4.867021428335405,12.882970221481546
gym,13.75,4.8698928474739605,12.890570846997603
gym,14.0,4.872590289489887,12.897710956339024
restaurant,0.0,0.0,0.0
restaurant,0.25,0.02130758596407776,0.04994984889341907
restaurant,0.5,0.16733090129016642,0.39226185682105713
restaurant,0.75,0.5379331780817708,1.2610382520685575
restaurant,1.0,1.1672016147371447,2.736187214382948
restaurant,1.25,2.0005904268266437,4.689840964907109
restaurant,1.5,2.9231383547962504,6.852504050096883
restaurant,1.75,3.818778204108453,8.952088452172788
restaurant,2.0,4.612100307625317,10.811816685173106
restaurant,2.25,5.274022111034507,12.363512598322954
restaurant,2.5,5.80690554938669,13.612713106929196
restaurant,2.75,6.227862274644204,14.599531832087928
restaurant,3.0,6.557830124904747,15.37305184923051
restaurant,3.25,6.816301067387089,15.978966782160894
restaurant,3.5,7.019505027861169,16.455323284363274
restaurant,3.75,7.1802438986452035,16.83213191582895
restaurant,4.0,7.308348201978851,17.13243766632082
restaurant,4.25,7.411275671297855,17.373723166617935
restaurant,4.5,7.494662999891141,17.569202113406302
restaurant,4.75,7.562775875674279,17.728874253591478
restaurant,5.0,7.618856082499096,17.86033906905832
restaurant,5.25,7.665381956192049,17.969406345122124
restaurant,5.5,7.704261314753347,18.060548442987358
restaurant,5.75,7.736973691567723,18.137233726884716
restaurant,6.0,7.764675201445154,18.20217239402561
restaurant,6.25,7.788276089556195,18.257498267021475
restaurant,6.5,7.808498355295789,18.304903877383822
restaurant,6.75,7.82591882309075,18.34574143333586
restaurant,7.0,7.841001545547059,18.381098780191774
restaurant,7.25,7.854122347947696,18.411856938266418
restaurant,7.5,7.865587549598524,18.438733989986726
restaurant,7.75,7.875648342941002,18.462318787816567
restaurant,8.0,7.884511913370934,18.48309702165205
restaurant,8.25,7.892350096248904,18.50147151283156
restaurant,8.5,7.899306160517373,18.517778116483832
restaurant,8.75,7.905500157880013,18.53229826122626
restaurant,9.0,7.911033166551761,18.54526889748443
restaurant,9.25,7.915990677763121,18.55689043623182
restaurant,9.5,7.920445313420412,18.567333119806207
restaurant,9.75,7.924459018831681,18.576742162160116
restaurant,10.0,7.928084841090932,18.585241917799696
restaurant,10.25,7.931368378611875,18.592939279822943
restaurant,10.5,7.934348968277226,18.59992646286886
restaurant,10.75,7.937060662165384,18.606283292787886
restaurant,11.0,7.939533034695336,18.612079098773957
restaurant,11.25,7.941791852456513,18.617374283598686
restaurant,11.5,7.94385963234389,18.62222163200753
restaurant,11.75,7.945756108439822,18.626667405197487
restaurant,12.0,7.947498624028079,18.63075225978752
restaurant,12.25,7.949102461933628,18.63451202221048
restaurant,12.5,7.950581123857634,18.637978343538155
restaurant,12.75,7.951946567372195,18.641179255051068
restaurant,13.0,7.953209407639589,18.64413964111447
restaurant,13.25,7.954379089638902,18.646881642916906
restaurant,13.5,7.955464035651519,18.64942500420988
restaurant,13.75,7.956471771923682,18.65178736823384
restaurant,14.0,7.957409037748552,18.653984533431444
waiting_room,0.0,0.0,0.0
waiting_room,0.25,0.018866437541516498,0.037735282370042506
waiting_room,0.5,0.14621489094675288,0.29244843836782947
waiting_room,0.75,0.4548907718343422,0.909839586033247
waiting_room,1.0,0.9357753020592185,1.8716700055541087
waiting_room,1.25,1.5007393498933579,3.001670188526109
waiting_room,1.5,2.04700847325454,4.094278137149612
waiting_room,1.75,2.5120712212032466,5.024462973317772
waiting_room,2.0,2.8793086217206727,5.758984632474181
waiting_room,2.25,3.158241644449863,6.316886268745118
waiting_room,2.5,3.366790252063389,6.7340100939960745
waiting_room,2.75,3.5223894995498304,7.045228442852147
waiting_room,3.0,3.6391261746747388,7.278716688265979
waiting_room,3.25,3.7275405020640084,7.455556624382678
waiting_room,3.5,3.795264358520581,7.591012978607121
waiting_room,3.75,3.847760288072445,7.696011535995514
waiting_room,4.0,3.8889363202461036,7.778368854250843
waiting_room,4.25,3.9216036767789273,7.843707735549249
waiting_room,4.5,3.9478020555623288,7.896107835931398
waiting_room,4.75,3.9690264644672495,7.938559361896593
waiting_room,5.0,3.986384563299982,7.973277774390678
waiting_room,5.25,4.000706018953319,8.001922513061638
waiting_room,5.5,4.012618965982023,8.02574992716662
waiting_room,5.75,4.022603907629492,8.045721084502842
waiting_room,6.0,4.0310320704089415,8.062578485463854
waiting_room,6.25,4.038192966934183,8.076901192218005
waiting_room,6.5,4.044314402644089,8.089144844710162
waiting_room,6.75,4.049577142476418,8.099670995880782
waiting_room,7.0,4.054125767311772,8.10876882593904
waiting_room,7.25,4.058076785548059,8.116671366546793
waiting_room,7.5,4.061524748520914,8.12356773243971
waiting_room,7.75,4.064546900838206,8.129612422689648
waiting_room,8.0,4.067206745792189,8.134932451983904
waiting_room,8.25,4.0695568004507745,8.139632861159276
waiting_room,8.5,4.071640740526138,8.143801007212977
waiting_room,8.75,4.073495082072286,8.147509926912333
waiting_room,9.0,4.075150508967565,8.150820991929185
waiting_room,9.25,4.076632927549677,8.153786018244485
waiting_room,9.5,4.077964309629072,8.15644895228266
waiting_room,9.75,4.07916337028592,8.15884722659202
waiting_room,10.0,4.080246115868027,8.161012855910528
waiting_room,10.25,4.081226289401513,8.162973328043986
waiting_room,10.5,4.082115734455276,8.164752331641381
waiting_room,10.75,4.082924693828601,8.166370353608226
waiting_room,11.0,4.0836620558715415,8.167845171778751
waiting_room,11.25,4.084335558518519,8.169192263009132
waiting_room,11.5,4.084951959010661,8.170425142643817
waiting_room,11.75,4.085517175649635,8.171555648041299
waiting_room,12.0,4.0860364066523385,8.172594176298643
waiting_room,12.25,4.086514230177295,8.173549884317055
waiting_room,12.5,4.0869546888068236,8.174430857776988
waiting_room,12.75,4.08736136114593,8.175244254345072
waiting_room,13.0,4.087737422703154,8.175996425443573
waiting_room,13.25,4.088085697822383,8.176693020120636
waiting_room,13.5,4.0884087041166035,8.177339073923473
waiting_room,13.75,4.088708690598223,8.177939085163867
waiting_room,14.0,4.088987670493078,8.178497080550372
