venue_id,venue_type,geo_cluster,traffic_tier,tenure_months,churned_next_quarter,competitive_pressure_market,relationship_execution_gap,churn_risk_oof
55,restaurant,10,low,1.0,True,False,False,0.03521687831907669
56,restaurant,18,low,48.0,False,False,False,0.12661756335420044
57,restaurant,18,high,45.0,True,False,False,0.08787684061443832
58,restaurant,8,low,35.0,False,False,False,0.1433906309258529
59,restaurant,16,high,37.0,False,True,False,0.11346058018536932
60,restaurant,3,high,29.0,False,False,False,0.06992823444069003
61,restaurant,1,low,45.0,False,False,False,0.3787093021182432
62,restaurant,19,high,11.0,False,False,False,0.11191917860715518
63,restaurant,3,low,19.0,False,False,False,0.1031501540347386
64,restaurant,10,low,15.0,False,False,False,0.14211096497471337
65,restaurant,3,high,11.0,False,False,False,0.16283791297743708
66,restaurant,18,high,31.0,False,False,False,0.12574590204089067
67,restaurant,1,high,33.0,False,False,True,0.17196327964643976
68,restaurant,4,high,18.0,False,False,False,0.12924301677309602
69,restaurant,9,high,11.0,False,False,False,0.14037868556236577
70,restaurant,11,low,24.0,False,False,False,0.13530710549908295
71,restaurant,8,low,36.0,False,False,False,0.10486031037018714
72,restaurant,5,low,45.0,False,False,False,0.25074374460233795
73,restaurant,5,high,34.0,False,False,True,0.5019057355637561
74,restaurant,11,low,25.0,False,False,False,0.09734259963140039
75,restaurant,14,low,1.0,False,True,True,0.3865865124801336
76,restaurant,15,high,10.0,True,False,False,0.1727936056397679
77,restaurant,7,low,5.0,False,False,True,0.22409225442352979
78,restaurant,19,low,41.0,False,False,False,0.22252414141947194
79,restaurant,18,high,48.0,False,False,False,0.12661756335420044
80,restaurant,10,low,11.0,True,False,False,0.14641842843717545
81,restaurant,5,high,3.0,False,False,True,0.4256985751889979
82,restaurant,17,low,8.0,True,False,False,0.13670066817356546
83,restaurant,12,high,16.0,False,True,False,0.12324085411804624
84,restaurant,17,high,30.0,False,False,False,0.0893118958505375
85,restaurant,0,low,7.0,False,False,False,0.10840921041259123
86,restaurant,5,high,28.0,False,False,True,0.25269349089084936
87,restaurant,17,low,21.0,False,False,False,0.13530710549908295
88,restaurant,14,low,44.0,True,True,False,0.2699004562800476
89,restaurant,13,low,22.0,False,False,True,0.48386869052962195
90,restaurant,12,high,13.0,False,True,False,0.24880772947889923
91,restaurant,3,high,21.0,False,False,False,0.12264437077285384
92,restaurant,12,high,29.0,False,True,False,0.21485108189991656
93,restaurant,9,low,6.0,True,False,True,0.13065675427507364
94,restaurant,11,high,1.0,False,False,False,0.08087397288394194
95,restaurant,10,high,32.0,False,False,False,0.15464454299845332
96,restaurant,7,high,17.0,False,False,True,0.4216896270138518
97,restaurant,2,low,32.0,False,False,False,0.0997327227655758
98,restaurant,13,high,34.0,False,False,False,0.13209385078341745
99,restaurant,17,high,33.0,False,False,False,0.21527426902321747
100,gym,16,high,41.0,False,True,False,0.16585033143476052
101,gym,3,high,3.0,False,False,False,0.039071532934468634
102,gym,14,low,24.0,False,True,False,0.09244933810419906
103,gym,15,low,6.0,False,False,True,0.20096715186912031
104,gym,14,low,29.0,False,True,False,0.2170813597589094
105,gym,19,high,5.0,False,False,True,0.16607105843019154
106,gym,10,high,40.0,False,False,False,0.14469255650866616
107,gym,7,high,10.0,False,False,False,0.1310760850087713
108,gym,2,low,17.0,False,False,False,0.07672662630209438
109,gym,12,low,3.0,False,True,False,0.13498676586451738
110,gym,17,low,43.0,False,False,False,0.12926250174128404
111,gym,8,low,43.0,False,False,False,0.12702914366572038
112,gym,6,high,38.0,False,False,False,0.12159608838046028
113,gym,5,low,1.0,True,False,True,0.07834025763981213
114,gym,6,high,12.0,True,False,True,0.4051511249348695
115,gym,0,low,40.0,False,False,False,0.11356763304552195
116,gym,17,high,12.0,True,False,True,0.43057385754055005
117,gym,3,low,28.0,False,False,False,0.06442525781298966
118,gym,14,high,16.0,True,True,True,0.23957456330071167
119,gym,3,high,15.0,False,False,False,0.07731540462552625
120,gym,4,low,10.0,False,False,False,0.06375707098089373
121,gym,6,low,31.0,False,False,False,0.11146403794708844
122,gym,18,low,5.0,False,False,True,0.15842128191751423
123,gym,7,high,40.0,False,False,False,0.10913307940278921
124,gym,4,low,43.0,False,False,False,0.08661248724026573
125,gym,1,high,13.0,False,False,False,0.23829577780748284
126,gym,8,high,38.0,False,False,False,0.12159608838046028
127,gym,1,low,35.0,True,False,True,0.17071675438574965
128,gym,5,high,30.0,False,False,False,0.12159608838046028
129,gym,11,low,14.0,False,False,False,0.13529497891038916
130,gym,0,low,35.0,False,False,False,0.07226803037508749
131,gym,17,low,32.0,False,False,False,0.0855968898150875
132,gym,18,low,5.0,False,False,False,0.07634244542388796
133,gym,11,low,47.0,False,False,False,0.11015409352749585
134,gym,8,high,6.0,False,False,False,0.03481560615421816
135,gym,14,high,34.0,True,True,False,0.1939470300553624
136,gym,17,low,44.0,False,False,False,0.07459109498958966
137,gym,10,low,1.0,False,False,False,0.09523586113937565
138,gym,0,high,33.0,False,False,False,0.06442525781298966
139,gym,6,high,42.0,False,False,False,0.15784008325865811
140,gym,13,high,14.0,False,False,False,0.13297331044301158
141,gym,7,high,6.0,False,False,False,0.05834717582859888
142,gym,10,high,15.0,False,False,False,0.12159608838046028
143,gym,19,low,42.0,False,False,True,0.14284961582460923
144,gym,5,high,11.0,False,False,False,0.14656894234238757
145,gym,16,low,46.0,False,True,False,0.11769738945869553
146,gym,5,low,19.0,False,False,False,0.080055435132419
147,gym,14,low,10.0,False,True,False,0.12591786203976385
148,gym,17,high,6.0,False,False,False,0.08521166849443944
149,gym,16,high,13.0,True,True,False,0.20056725726446162
150,gym,12,high,48.0,True,True,False,0.24045109066408463
151,gym,9,high,41.0,False,False,False,0.12760806562754637
152,gym,11,low,10.0,False,False,False,0.13895174280771458
153,gym,17,high,17.0,False,False,False,0.07604457025597253
154,gym,3,low,4.0,False,False,False,0.055343617274272484
155,gym,5,low,26.0,False,False,False,0.0909693493174671
156,gym,12,low,3.0,False,True,False,0.0949983234393554
157,gym,4,high,13.0,False,False,True,0.21276060708513467
158,gym,17,low,48.0,False,False,False,0.17804687257337085
159,gym,3,low,4.0,False,False,False,0.0724224886602192
160,gym,9,low,46.0,False,False,False,0.0988856595997802
161,gym,1,low,35.0,False,False,False,0.12159608838046028
162,gym,6,low,12.0,False,False,True,0.4391389430457339
163,gym,18,low,20.0,False,False,False,0.0909693493174671
164,gym,12,high,17.0,True,True,False,0.2588768530565886
165,gym,13,low,43.0,False,False,False,0.15296287555764443
166,gym,16,high,3.0,False,True,False,0.04872091877521878
167,gym,3,low,39.0,False,False,False,0.11446495754220004
168,gym,14,high,32.0,False,True,False,0.1682484596179483
169,gym,17,high,25.0,False,False,False,0.10913307940278921
170,gym,15,low,36.0,False,False,False,0.09414998594499688
171,gym,6,high,16.0,False,False,False,0.12472373425674337
172,gym,7,high,16.0,False,False,True,0.2669000768780199
173,gym,10,high,20.0,False,False,False,0.06841055315982192
174,gym,11,high,41.0,False,False,False,0.14223615143574245
175,gym,14,high,26.0,False,True,False,0.12996622613395242
176,gym,4,low,9.0,False,False,True,0.1494073806189552
177,gym,15,low,17.0,False,False,False,0.07604457025597253
178,gym,13,high,46.0,False,False,False,0.21036044284781083
179,gym,3,high,27.0,False,False,False,0.06896256689940915
180,gym,1,low,21.0,False,False,False,0.10913307940278921
181,gym,9,low,15.0,False,False,False,0.09558123570713015
182,gym,0,low,34.0,False,False,False,0.07731540462552625
183,gym,12,low,37.0,False,True,True,0.1762862021706493
184,gym,3,high,25.0,False,False,False,0.0934018899464347
185,gym,0,low,27.0,False,False,False,0.04736294794870055
186,gym,18,high,4.0,False,False,True,0.3874603207493956
187,gym,17,high,37.0,False,False,False,0.12159608838046028
188,gym,9,low,28.0,False,False,False,0.12568792055632763
189,gym,3,low,15.0,True,False,False,0.07226803037508749
190,gym,3,high,38.0,False,False,False,0.06375707098089373
191,gym,15,high,38.0,False,False,False,0.10486031037018714
192,gym,13,low,8.0,False,False,False,0.10207071067180692
193,gym,12,high,46.0,False,True,False,0.09519130727698022
194,gym,7,high,8.0,False,False,False,0.07213115596297051
195,gym,6,high,4.0,False,False,False,0.04349029993042986
196,gym,15,low,13.0,False,False,False,0.1310760850087713
197,gym,16,high,32.0,False,True,False,0.14523875060686126
198,gym,1,high,39.0,False,False,False,0.17557658416593477
199,gym,0,high,48.0,False,False,False,0.12211031090804961
200,bar,16,low,32.0,False,True,True,0.5469594967205536
201,bar,12,low,44.0,False,True,True,0.4521065059154363
202,bar,0,high,41.0,True,False,False,0.10203821198897893
203,bar,14,high,28.0,False,True,False,0.45874580025236633
204,bar,0,high,43.0,False,False,False,0.12928090387530627
205,bar,5,low,4.0,False,False,False,0.03907154611807961
206,bar,0,low,22.0,False,False,False,0.05085206527585275
207,bar,13,high,2.0,False,False,False,0.06587827121103842
208,bar,5,high,9.0,True,False,True,0.22657037481288314
209,bar,4,high,34.0,False,False,False,0.09268391210037923
210,bar,14,low,9.0,False,True,False,0.1116850920395953
211,bar,2,low,39.0,False,False,False,0.12159608838046028
212,bar,19,high,28.0,False,False,False,0.10448149719440043
213,bar,11,low,44.0,False,False,False,0.15601564837649443
214,bar,17,low,17.0,False,False,False,0.15176515284370717
215,bar,7,low,19.0,False,False,False,0.13453817095284965
216,bar,0,low,45.0,False,False,False,0.17342343951335437
217,bar,17,low,9.0,True,False,False,0.14120372922616845
218,bar,7,low,16.0,False,False,False,0.07213809343612078
219,bar,18,low,48.0,True,False,True,0.2947069336813729
220,bar,15,high,7.0,True,False,False,0.11977933972832544
221,bar,19,low,41.0,False,False,False,0.11827998011908329
222,bar,1,high,35.0,False,False,False,0.20245815536812267
223,bar,12,high,16.0,False,True,False,0.356075836733102
224,bar,11,low,10.0,True,False,True,0.35032537998861335
225,bar,2,low,17.0,False,False,False,0.13719915695212323
226,bar,8,low,7.0,False,False,True,0.21527426902321747
227,bar,9,high,32.0,True,False,True,0.32846469311120086
228,bar,2,high,33.0,False,False,False,0.27257738159318434
229,bar,16,high,15.0,False,True,False,0.4358157531383939
230,bar,11,low,15.0,False,False,False,0.21527426902321747
231,bar,12,high,22.0,True,True,False,0.26997490888845627
232,bar,16,low,7.0,False,True,False,0.14211096497471337
233,bar,13,high,43.0,False,False,False,0.4103815852982297
234,bar,13,low,37.0,False,False,False,0.22772985739200693
235,bar,12,high,35.0,False,True,False,0.4762510758056011
236,bar,12,high,46.0,False,True,False,0.37646785461052684
237,bar,6,low,16.0,False,False,True,0.17196327964643976
238,bar,18,low,1.0,False,False,False,0.32011528770883835
239,bar,17,low,6.0,False,False,False,0.11740464273722585
240,bar,17,high,34.0,False,False,False,0.1433906309258529
241,bar,3,high,18.0,False,False,False,0.12159608838046028
242,bar,14,high,33.0,True,True,False,0.10100124883733912
243,bar,17,low,35.0,False,False,False,0.21527426902321747
244,bar,12,high,45.0,False,True,False,0.5150367056876507
245,bar,11,low,21.0,True,False,False,0.14656894234238757
246,bar,15,high,44.0,False,False,False,0.16536641573868907
247,bar,14,low,27.0,False,True,False,0.3146588214481302
248,bar,5,low,47.0,False,False,False,0.11769738945869553
249,bar,4,high,2.0,False,False,True,0.3793018302596984
250,bar,8,high,18.0,False,False,False,0.10170742499629239
251,bar,16,high,42.0,False,True,False,0.15967179652294713
252,bar,19,low,5.0,False,False,False,0.03907154611807961
253,bar,10,high,8.0,True,False,False,0.3194013587004435
254,bar,16,low,38.0,False,True,False,0.3910278920293936
255,bar,17,low,9.0,False,False,False,0.13087475854312175
256,bar,8,low,10.0,False,False,False,0.2450902811411533
257,bar,5,high,42.0,True,False,True,0.27057918893500155
258,bar,13,high,19.0,False,False,False,0.11208675391938057
259,bar,16,high,14.0,True,True,False,0.21175901066088684
260,bar,12,low,31.0,True,True,False,0.07058795817137983
261,bar,13,high,19.0,False,False,False,0.3194013587004435
262,bar,14,low,13.0,False,True,False,0.40339923267305094
263,bar,19,high,4.0,False,False,False,0.06157054214921951
264,bar,12,high,6.0,False,True,False,0.3317699687231555
265,bar,6,low,26.0,False,False,False,0.2382769363520032
266,bar,10,low,42.0,False,False,False,0.13513891178749046
267,bar,2,high,48.0,False,False,False,0.19020741389482004
268,bar,2,low,28.0,False,False,False,0.13209385078341745
269,bar,8,low,8.0,True,False,False,0.10448149719440043
270,bar,0,high,2.0,False,False,False,0.18773890072664837
271,bar,0,low,43.0,False,False,False,0.05901483908134059
272,bar,11,high,32.0,False,False,False,0.1433906309258529
273,bar,6,high,28.0,False,False,False,0.1433906309258529
274,bar,7,low,26.0,False,False,False,0.1313404031482511
275,bar,10,low,26.0,False,False,False,0.1964002763704531
276,bar,6,high,36.0,True,False,True,0.4016379197146687
277,bar,4,high,35.0,False,False,False,0.11208675391938057
278,bar,15,low,23.0,False,False,False,0.2368405261684119
279,bar,7,low,35.0,False,False,True,0.2873543966005616
280,bar,15,low,8.0,False,False,True,0.42248048177517483
281,bar,17,high,42.0,False,False,True,0.6016948436053919
282,bar,6,high,20.0,False,False,False,0.1433906309258529
283,bar,8,low,12.0,False,False,False,0.196461431541356
284,bar,10,high,37.0,False,False,False,0.17828642575310863
285,bar,16,low,22.0,True,True,False,0.21527426902321747
286,bar,7,high,41.0,True,False,False,0.08280577470857119
287,bar,7,high,4.0,False,False,False,0.07282365766049735
288,bar,11,low,12.0,False,False,False,0.20298309933959038
289,bar,1,high,21.0,False,False,False,0.1450217369779522
290,bar,16,high,7.0,True,True,False,0.3194013587004435
291,bar,1,high,17.0,True,False,True,0.45423326613196247
292,bar,7,high,30.0,False,False,False,0.06375707098089373
293,bar,11,low,31.0,False,False,False,0.11788434474748613
294,bar,9,high,38.0,False,False,False,0.08280577470857119
295,bar,9,low,35.0,True,False,False,0.11346058018536932
296,bar,17,high,24.0,True,False,False,0.22691832177407006
297,bar,11,high,1.0,False,False,False,0.27415991111914895
298,bar,2,low,43.0,True,False,False,0.188881398264802
299,bar,13,low,32.0,False,False,False,0.15176515284370717
300,waiting_room,13,low,20.0,False,False,True,0.17701010676015508
301,waiting_room,2,low,17.0,False,False,False,0.06714749851690235
302,waiting_room,0,low,3.0,False,False,False,0.1416039284649517
303,waiting_room,7,low,48.0,False,False,False,0.0988856595997802
304,waiting_room,1,high,41.0,False,False,False,0.06869127571794108
305,waiting_room,14,low,13.0,False,True,False,0.17924429164429653
306,waiting_room,1,high,46.0,False,False,False,0.0988856595997802
307,waiting_room,8,low,23.0,True,False,True,0.14633677362079844
308,waiting_room,8,high,43.0,False,False,False,0.08863361282292787
309,waiting_room,5,low,11.0,False,False,False,0.14864460419823286
310,waiting_room,0,high,33.0,False,False,False,0.2801691292068581
311,waiting_room,17,low,39.0,False,False,False,0.09912765525567047
312,waiting_room,8,low,28.0,False,False,True,0.1762862021706493
313,waiting_room,19,low,20.0,False,False,False,0.08872737608564102
314,waiting_room,17,low,30.0,False,False,False,0.09912765525567047
315,waiting_room,6,high,34.0,False,False,True,0.2658031696419025
316,waiting_room,13,low,26.0,False,False,False,0.06442525781298966
317,waiting_room,19,low,7.0,False,False,False,0.13245657294484042
318,waiting_room,3,high,40.0,False,False,False,0.13632745974277538
319,waiting_room,11,high,26.0,False,False,False,0.059323238270137135
320,waiting_room,0,low,45.0,False,False,True,0.11983062738470175
321,waiting_room,17,high,37.0,False,False,False,0.11295264246735238
322,waiting_room,11,low,2.0,False,False,False,0.04444365168013148
323,waiting_room,3,high,44.0,False,False,False,0.1180042009636659
324,waiting_room,2,low,7.0,False,False,False,0.07226803037508749
325,waiting_room,6,low,35.0,False,False,False,0.13632745974277538
326,waiting_room,9,low,23.0,False,False,False,0.12290669183841046
327,waiting_room,9,low,8.0,False,False,False,0.08872737608564102
328,waiting_room,1,high,36.0,False,False,False,0.06442525781298966
329,waiting_room,4,low,38.0,False,False,False,0.09912765525567047
330,waiting_room,3,high,14.0,False,False,False,0.06375707098089373
331,waiting_room,1,low,28.0,False,False,False,0.06666347172056362
332,waiting_room,17,high,13.0,False,False,False,0.0798968678353865
333,waiting_room,8,low,2.0,False,False,True,0.25395044085189217
334,waiting_room,1,high,36.0,False,False,False,0.0855968898150875
335,waiting_room,6,low,48.0,True,False,False,0.08018939549843945
336,waiting_room,8,low,36.0,False,False,False,0.08592321053597782
337,waiting_room,11,low,25.0,False,False,False,0.06841055315982192
338,waiting_room,4,low,9.0,False,False,False,0.08731727562306892
339,waiting_room,2,high,12.0,False,False,False,0.07213115596297051
340,waiting_room,11,high,36.0,False,False,False,0.06666347172056362
341,waiting_room,17,high,1.0,False,False,True,0.18599926040886974
342,waiting_room,17,low,44.0,False,False,False,0.15511034665917706
343,waiting_room,6,low,41.0,True,False,True,0.1678806665740407
344,waiting_room,16,high,48.0,True,True,True,0.21251706346489588
345,waiting_room,6,high,1.0,False,False,False,0.03907154611807961
346,waiting_room,12,high,15.0,False,True,False,0.0855968898150875
347,waiting_room,5,high,20.0,False,False,False,0.08217342092533828
348,waiting_room,14,high,43.0,False,True,False,0.09090937169045078
349,waiting_room,4,high,2.0,False,False,True,0.1789995713307834
350,waiting_room,5,high,31.0,False,False,False,0.06375707098089373
351,waiting_room,14,high,2.0,False,True,False,0.053101720743404725
352,waiting_room,5,low,42.0,False,False,False,0.09912765525567047
353,waiting_room,4,low,19.0,False,False,False,0.08863361282292787
354,waiting_room,6,high,18.0,False,False,False,0.12159608838046028
355,waiting_room,3,low,26.0,False,False,False,0.08107528528747406
356,waiting_room,13,low,37.0,False,False,False,0.08592321053597782
357,waiting_room,1,high,17.0,False,False,False,0.05499810189643108
358,waiting_room,17,high,15.0,False,False,False,0.08872737608564102
359,waiting_room,11,low,36.0,False,False,False,0.07672662630209438
360,waiting_room,4,high,47.0,True,False,False,0.06638982153162291
361,waiting_room,5,high,25.0,True,False,True,0.20727029242446834
362,waiting_room,2,high,9.0,False,False,False,0.09873322133632723
363,waiting_room,18,low,17.0,False,False,True,0.17339348640841032
364,waiting_room,13,low,20.0,False,False,False,0.08872737608564102
365,waiting_room,9,low,24.0,False,False,False,0.08725899658277787
366,waiting_room,19,high,48.0,False,False,False,0.06869127571794108
367,waiting_room,18,low,9.0,False,False,False,0.13624581531294624
368,waiting_room,16,low,35.0,False,True,False,0.1190563612264887
369,waiting_room,15,low,33.0,False,False,False,0.06375707098089373
370,waiting_room,17,low,19.0,False,False,True,0.3148068176666341
371,waiting_room,4,low,39.0,True,False,False,0.06375707098089373
372,waiting_room,17,high,24.0,False,False,False,0.059323238270137135
373,waiting_room,2,high,37.0,False,False,False,0.10564217691800097
374,waiting_room,5,low,10.0,False,False,False,0.06992823444069003
375,waiting_room,17,high,35.0,False,False,False,0.07189938988740659
376,waiting_room,3,high,35.0,False,False,False,0.06375707098089373
377,waiting_room,12,high,20.0,False,True,False,0.07663616585119784
378,waiting_room,2,high,6.0,False,False,True,0.1600360895393593
379,waiting_room,9,low,28.0,False,False,False,0.10600581830328827
380,waiting_room,3,high,16.0,False,False,False,0.06611783665742021
381,waiting_room,6,low,38.0,False,False,False,0.15162591900410557
382,waiting_room,11,low,21.0,False,False,False,0.06841055315982192
383,waiting_room,19,high,19.0,False,False,False,0.06375707098089373
384,waiting_room,6,high,41.0,False,False,False,0.059323238270137135
385,waiting_room,6,high,16.0,False,False,False,0.06375707098089373
386,waiting_room,13,low,39.0,False,False,False,0.08592321053597782
387,waiting_room,11,low,31.0,False,False,False,0.06375707098089373
388,waiting_room,13,low,32.0,True,False,False,0.06442525781298966
389,waiting_room,18,high,30.0,False,False,True,0.13939980985191353
390,waiting_room,1,high,35.0,False,False,False,0.11884885132031568
391,waiting_room,1,high,13.0,False,False,False,0.08137881919717647
392,waiting_room,12,high,26.0,False,True,False,0.05901483908134059
393,waiting_room,7,low,9.0,False,False,False,0.06843757187876053
394,waiting_room,14,high,31.0,False,True,False,0.07785053462923751
395,waiting_room,9,low,1.0,False,False,False,0.30595171815028555
396,waiting_room,15,high,28.0,True,False,True,0.07790472028078275
397,waiting_room,2,high,14.0,False,False,False,0.0855968898150875
398,waiting_room,19,high,25.0,True,False,False,0.06841055315982192
399,waiting_room,16,high,17.0,False,True,False,0.08217342092533828
