prospect_id,venue_type,geo_cluster,in_expansion_market,baseline_level,dwell_time_min,screen_count,audience_quality,calibrated_lift_feature,geo_demand_multiplier,true_ad_revenue_potential_prospect,predicted_revenue,rank_overall,rank_within_type
P0026,gym,21,True,273.5547224643764,47.12140727407914,1,0.655073462956843,13.054646261079396,1.2397856412527697,302.7972621699693,189.4503551193693,50,11
P0058,restaurant,19,False,411.3629530116613,43.64523864136584,2,0.4903431345556981,18.693631048664304,0.5387255231292021,205.12880536005216,182.0044694462888,51,20
P0037,gym,16,False,232.23275626723637,55.640835713503535,1,0.3807684575868177,13.054646261079396,1.1863315924054103,196.90700042460205,180.92630288787888,52,12
P0039,gym,17,False,202.83565025233617,66.30574565053186,2,0.498122319920301,13.054646261079396,1.1237477840063734,231.14474956583555,179.29763782860243,53,13
P0025,gym,20,True,232.63813351689785,39.151158232027335,3,0.5263692237773963,13.054646261079396,0.7856798158333477,188.5158692285124,169.29119950635425,54,14
P0031,gym,4,False,255.32068144679343,50.49155205192708,1,0.8871625232395928,13.054646261079396,1.0275822800548309,286.8525353886856,151.09469039293288,55,15
P0021,gym,22,True,287.7826435192872,27.86432075308877,1,0.3754171697913023,13.054646261079396,0.7975192829906805,137.80873548661958,146.2965239076301,56,16
P0030,gym,7,False,259.8827012945296,38.1066597471541,1,0.6339724108581862,13.054646261079396,0.7035462344227063,151.80983632565236,133.3564034599371,57,17
P0066,waiting_room,21,True,143.5744988468898,21.84574548807485,3,0.6202148357756063,8.188556274299227,1.2397856412527697,173.9313798807411,132.934930986334,58,1
P0065,waiting_room,24,True,160.47633399926988,27.898816670316943,3,0.6805551666757718,8.188556274299227,1.003951872317518,179.61040587154858,129.9203337186041,59,2
P0020,gym,24,True,163.382885322103,45.20061918531922,1,0.5912373692227814,13.054646261079396,1.003951872317518,136.79921299419792,117.44016202992502,60,18
P0064,waiting_room,22,True,133.4476557388653,24.053466650686875,3,0.5794131373127397,8.188556274299227,0.7975192829906805,103.22462896709143,115.71169647766827,61,3
P0035,gym,3,False,330.75280129569984,42.44746092946412,1,0.6239985373732758,13.054646261079396,0.755015792624648,211.02759480516733,115.63811779027866,62,19
P0060,waiting_room,24,True,172.4676194722487,18.460166551241013,2,0.6377341103012375,8.188556274299227,1.003951872317518,142.04410783690898,113.71435691707563,63,4
P0070,waiting_room,14,False,128.870663932437,29.088662407338557,2,0.7499320659705414,8.188556274299227,1.0776802168048698,144.20123997474204,110.72175096309896,64,5
P0073,waiting_room,14,False,105.5783808278434,12.595380043554574,3,0.7486439078747176,8.188556274299227,1.0776802168048698,108.28097544061217,109.61100195808726,65,6
P0033,gym,10,False,200.5618641030823,36.978421367071945,1,0.5232392259692001,13.054646261079396,0.8089120417174245,120.703068252476,104.96067142781925,66,20
P0071,waiting_room,2,False,153.29725641406097,17.521702371295593,3,0.589265058689992,8.188556274299227,0.8075273088415456,110.67878321997318,99.39233647162456,67,7
P0074,waiting_room,6,False,129.7316091381294,19.11747223059165,1,0.7051872088860467,8.188556274299227,1.1629429608386823,111.97863198769365,95.77912753727105,68,8
P0077,waiting_room,15,False,178.80032488942825,18.06553207317374,1,0.2569332436121302,8.188556274299227,1.0339918143594733,84.8975725077864,82.76081198986758,69,9
P0076,waiting_room,10,False,139.8181002930695,21.930234217833743,2,0.449114642805052,8.188556274299227,0.8089120417174245,81.24349675721845,76.21245600896177,70,10
P0067,waiting_room,21,True,104.14660790111986,31.17104663238101,1,0.7585791541482593,8.188556274299227,1.2397856412527697,117.17867094341705,75.76069828255403,71,11
P0062,waiting_room,24,True,133.50030414530698,14.354130002299277,1,0.4836872021889721,8.188556274299227,1.003951872317518,75.71298435417418,68.86511085809437,72,12
P0075,waiting_room,9,False,84.51939191447396,21.01321242804512,3,0.5029134061068414,8.188556274299227,1.010749464328485,73.88457950895393,68.65756099317683,73,13
P0079,waiting_room,17,False,70.803454896703,31.085961290139736,1,0.5248343452038505,8.188556274299227,1.1237477840063734,58.73618165794014,68.6450407655898,74,14
P0069,waiting_room,20,True,85.04874205044649,24.42204308611332,1,0.7080970478750984,8.188556274299227,0.7856798158333477,53.45342576557706,60.99983574370295,75,15
P0072,waiting_room,1,False,58.68407721083048,16.814663892330724,3,0.3735918601682765,8.188556274299227,1.0566406771193153,44.00676046424956,59.12057611252606,76,16
P0063,waiting_room,21,True,99.02329918420595,28.043597883477798,1,0.5054190600931232,8.188556274299227,1.2397856412527697,85.63389642722767,52.537238932529675,77,17
P0068,waiting_room,20,True,66.60175573807543,24.58316849780013,1,0.4620715883180059,8.188556274299227,0.7856798158333477,33.40568561800456,51.93778794235768,78,18
P0061,waiting_room,21,True,82.5052613032675,25.713997031384658,2,0.4182112008040043,8.188556274299227,1.2397856412527697,74.75084971979194,51.332539047653796,79,19
P0078,waiting_room,11,False,112.2045844598004,25.03927869599082,2,0.3377401971525806,8.188556274299227,1.2417115693927143,92.08122217589975,46.341044803889595,80,20
